lad_code,n,mean,rooms
E06000047,30,462,Room
E06000005,60,356,Room
E06000001,10,400,Room
E06000002,40,378,Room
E08000037,20,430,Room
E08000021,60,418,Room
E08000023,20,437,Room
E08000024,40,371,Room
E06000008,30,337,Room
E06000009,20,426,Room
E06000049,20,415,Room
E06000050,180,455,Room
E06000006,30,353,Room
E06000007,100,427,Room
E07000027,60,488,Room
E07000028,250,394,Room
E07000030,20,487,Room
E07000031,50,483,Room
E08000001,20,406,Room
E08000003,380,464,Room
E08000004,10,490,Room
E08000006,60,448,Room
E08000007,30,479,Room
E08000008,20,478,Room
E08000010,90,458,Room
E07000117,250,421,Room
E07000118,10,539,Room
E07000120,10,300,Room
E07000121,50,395,Room
E07000122,10,403,Room
E07000123,130,373,Room
E07000126,10,333,Room
E07000127,30,553,Room
E07000128,40,353,Room
E08000011,10,498,Room
E08000012,500,427,Room
E08000014,30,369,Room
E08000013,80,394,Room
E08000015,10,355,Room
E06000011,10,336,Room
E06000010,440,416,Room
E06000012,270,439,Room
E06000013,40,364,Room
E06000014,90,506,Room
E07000163,10,476,Room
E07000165,40,511,Room
E07000168,40,404,Room
E08000016,110,385,Room
E08000017,580,403,Room
E08000018,30,393,Room
E08000019,110,420,Room
E08000032,200,391,Room
E08000033,60,422,Room
E08000034,30,363,Room
E08000035,70,414,Room
E08000036,30,353,Room
E06000015,110,446,Room
E06000016,50,406,Room
E06000018,440,421,Room
E07000034,40,461,Room
E07000036,40,477,Room
E07000037,130,400,Room
E07000130,440,462,Room
E07000134,10,454,Room
E07000136,80,482,Room
E07000137,140,412,Room
E07000138,120,410,Room
E07000140,60,425,Room
E07000142,20,447,Room
E07000150,100,477,Room
E07000153,50,456,Room
E07000154,210,517,Room
E07000170,20,378,Room
E07000171,30,336,Room
E07000172,100,489,Room
E07000173,30,567,Room
E07000174,30,429,Room
E07000175,90,491,Room
E07000176,110,463,Room
E06000019,50,451,Room
E06000021,210,355,Room
E06000020,190,429,Room
E07000192,20,429,Room
E07000193,60,440,Room
E07000194,10,470,Room
E07000195,70,389,Room
E07000197,60,409,Room
E07000199,20,515,Room
E07000218,10,550,Room
E07000219,10,449,Room
E07000220,20,464,Room
E07000221,10,635,Room
E07000222,270,483,Room
E08000025,120,463,Room
E08000026,240,480,Room
E08000027,10,338,Room
E08000028,10,449,Room
E08000030,20,374,Room
E08000031,20,364,Room
E07000234,10,362,Room
E07000236,30,422,Room
E07000237,180,469,Room
E07000239,20,463,Room
E06000055,80,501,Room
E06000056,30,539,Room
E06000032,250,481,Room
E06000031,450,455,Room
E06000033,240,484,Room
E06000034,20,631,Room
E07000008,170,628,Room
E07000010,20,453,Room
E07000011,20,595,Room
E07000012,60,622,Room
E07000066,100,630,Room
E07000068,20,533,Room
E07000070,180,550,Room
E07000071,30,493,Room
E07000073,10,487,Room
E07000075,10,529,Room
E07000076,10,322,Room
E07000096,80,545,Room
E07000242,130,567,Room
E07000099,30,514,Room
E07000240,20,575,Room
E07000243,40,464,Room
E07000103,20,634,Room
E07000241,10,492,Room
E07000144,10,427,Room
E07000145,10,410,Room
E07000146,10,476,Room
E07000148,130,477,Room
E07000244,10,443,Room
E07000202,30,429,Room
E07000245,10,484,Room
E09000007,10,1065,Room
E09000014,90,736,Room
E09000019,20,729,Room
E09000020,40,890,Room
E09000022,20,773,Room
E09000023,70,735,Room
E09000025,60,637,Room
E09000028,10,768,Room
E09000030,40,765,Room
E09000032,40,715,Room
E09000033,60,888,Room
E09000002,10,553,Room
E09000003,30,626,Room
E09000005,30,804,Room
E09000008,30,642,Room
E09000009,20,719,Room
E09000010,10,621,Room
E09000011,30,628,Room
E09000015,10,631,Room
E09000016,10,675,Room
E09000017,50,623,Room
E09000018,60,576,Room
E09000021,60,551,Room
E09000024,10,532,Room
E09000026,60,731,Room
E09000027,10,789,Room
E09000031,30,584,Room
E06000036,80,475,Room
E06000043,380,625,Room
E06000060,180,564,Room
E06000046,40,399,Room
E06000035,130,482,Room
E06000042,40,545,Room
E06000044,300,538,Room
E06000038,180,560,Room
E06000039,10,559,Room
E06000045,30,406,Room
E06000037,20,601,Room
E06000040,10,560,Room
E06000041,10,591,Room
E07000061,160,505,Room
E07000062,60,475,Room
E07000064,10,386,Room
E07000084,70,516,Room
E07000086,20,458,Room
E07000087,10,511,Room
E07000088,30,522,Room
E07000089,10,592,Room
E07000091,10,459,Room
E07000092,120,516,Room
E07000093,40,562,Room
E07000094,100,479,Room
E07000105,190,457,Room
E07000106,340,437,Room
E07000108,30,427,Room
E07000112,30,518,Room
E07000109,10,527,Room
E07000110,140,521,Room
E07000113,20,600,Room
E07000114,60,449,Room
E07000116,50,581,Room
E07000177,10,537,Room
E07000178,320,574,Room
E07000180,10,602,Room
E07000207,10,777,Room
E07000208,40,667,Room
E07000209,40,594,Room
E07000211,20,678,Room
E07000212,10,722,Room
E07000213,50,684,Room
E07000214,10,583,Room
E07000216,30,560,Room
E07000224,60,456,Room
E07000225,30,475,Room
E07000226,70,551,Room
E07000227,10,543,Room
E07000229,40,595,Room
E06000022,270,578,Room
E06000058,540,456,Room
E06000023,120,590,Room
E06000052,230,418,Room
E06000059,30,503,Room
E06000024,80,500,Room
E06000026,950,438,Room
E06000025,100,594,Room
E06000030,80,485,Room
E06000027,90,422,Room
E06000054,70,549,Room
E07000040,10,412,Room
E07000041,210,552,Room
E07000042,10,392,Room
E07000043,50,446,Room
E07000045,20,484,Room
E07000078,60,485,Room
E07000081,40,467,Room
E07000187,30,441,Room
E07000188,130,526,Room
E07000246,50,457,Room
E07000189,130,468,Room
E06000047,10,457,Studio
E06000005,30,362,Studio
E06000001,10,404,Studio
E08000037,10,506,Studio
E08000021,10,502,Studio
E08000024,10,449,Studio
E06000008,20,357,Studio
E06000009,30,322,Studio
E06000049,40,531,Studio
E06000050,20,448,Studio
E06000006,10,437,Studio
E06000007,20,461,Studio
E07000026,10,362,Studio
E07000028,10,359,Studio
E07000029,10,374,Studio
E07000030,10,425,Studio
E07000031,10,465,Studio
E08000002,10,495,Studio
E08000003,80,647,Studio
E08000005,10,371,Studio
E08000006,60,693,Studio
E08000007,10,564,Studio
E08000008,10,401,Studio
E08000009,10,570,Studio
E08000010,20,427,Studio
E07000119,10,395,Studio
E07000120,10,315,Studio
E07000121,10,455,Studio
E07000123,20,382,Studio
E07000126,10,383,Studio
E07000128,20,371,Studio
E08000012,120,507,Studio
E08000014,30,454,Studio
E08000013,10,439,Studio
E06000011,10,324,Studio
E06000010,20,296,Studio
E06000014,40,536,Studio
E07000165,20,493,Studio
E07000168,10,367,Studio
E08000016,30,373,Studio
E08000017,60,489,Studio
E08000018,20,426,Studio
E08000019,200,515,Studio
E08000032,60,419,Studio
E08000033,10,328,Studio
E08000034,10,383,Studio
E08000035,220,555,Studio
E08000036,20,450,Studio
E06000015,70,505,Studio
E06000016,140,505,Studio
E06000018,90,501,Studio
E07000036,10,437,Studio
E07000130,20,519,Studio
E07000136,20,400,Studio
E07000137,10,391,Studio
E07000138,10,423,Studio
E07000139,10,337,Studio
E07000140,10,429,Studio
E07000141,20,399,Studio
E07000150,10,615,Studio
E07000151,10,474,Studio
E07000153,10,524,Studio
E07000154,40,611,Studio
E07000170,10,461,Studio
E07000171,10,333,Studio
E07000174,10,326,Studio
E07000175,10,381,Studio
E07000176,10,429,Studio
E06000019,20,409,Studio
E06000051,30,379,Studio
E06000020,10,387,Studio
